00001 A00     0 Cholera                                                      Cholera
67122 S92351D 1 Disp fx of 5th metatarsal bone, r ft, 7thD                   Displaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with routine healing
67123 S92351G 1 Disp fx of 5th metatarsal bone, r ft, 7thG                   Displaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with delayed healing
67124 S92351K 1 Disp fx of 5th metatarsal bone, r ft, subs for fx w nonunion Displaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with nonunion
67125 S92351P 1 Disp fx of 5th metatarsal bone, r ft, subs for fx w malunion Displaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with malunion
67126 S92351S 1 Disp fx of fifth metatarsal bone, right foot, sequela        Displaced fracture of fifth metatarsal bone, right foot, sequela
67127 S92352  0 Displaced fracture of fifth metatarsal bone, left foot       Displaced fracture of fifth metatarsal bone, left foot
67128 S92352A 1 Disp fx of fifth metatarsal bone, left foot, init            Displaced fracture of fifth metatarsal bone, left foot, initial encounter for closed fracture
67129 S92352B 1 Disp fx of fifth metatarsal bone, left foot, init for opn fx Displaced fracture of fifth metatarsal bone, left foot, initial encounter for open fracture
67130 S92352D 1 Disp fx of 5th metatarsal bone, l ft, 7thD                   Displaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with routine healing
67131 S92352G 1 Disp fx of 5th metatarsal bone, l ft, 7thG                   Displaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with delayed healing
67132 S92352K 1 Disp fx of 5th metatarsal bone, l ft, subs for fx w nonunion Displaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with nonunion
67133 S92352P 1 Disp fx of 5th metatarsal bone, l ft, subs for fx w malunion Displaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with malunion
67134 S92352S 1 Disp fx of fifth metatarsal bone, left foot, sequela         Displaced fracture of fifth metatarsal bone, left foot, sequela
67135 S92353  0 Disp fx of fifth metatarsal bone, unspecified foot           Displaced fracture of fifth metatarsal bone, unspecified foot
67136 S92353A 1 Disp fx of fifth metatarsal bone, unsp foot, init            Displaced fracture of fifth metatarsal bone, unspecified foot, initial encounter for closed fracture
67137 S92353B 1 Disp fx of fifth metatarsal bone, unsp foot, init for opn fx Displaced fracture of fifth metatarsal bone, unspecified foot, initial encounter for open fracture
67138 S92353D 1 Disp fx of 5th metatarsal bone, unsp ft, 7thD                Displaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
67139 S92353G 1 Disp fx of 5th metatarsal bone, unsp ft, 7thG                Displaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing
67140 S92353K 1 Disp fx of 5th metatarsal bone, unsp ft, 7thK                Displaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion
67141 S92353P 1 Disp fx of 5th metatarsal bone, unsp ft, 7thP                Displaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion
67142 S92353S 1 Disp fx of fifth metatarsal bone, unspecified foot, sequela  Displaced fracture of fifth metatarsal bone, unspecified foot, sequela
67143 S92354  0 Nondisplaced fracture of fifth metatarsal bone, right foot   Nondisplaced fracture of fifth metatarsal bone, right foot
67144 S92354A 1 Nondisp fx of fifth metatarsal bone, right foot, init        Nondisplaced fracture of fifth metatarsal bone, right foot, initial encounter for closed fracture
67145 S92354B 1 Nondisp fx of fifth metatarsal bone, r foot, init for opn fx Nondisplaced fracture of fifth metatarsal bone, right foot, initial encounter for open fracture
67146 S92354D 1 Nondisp fx of 5th metatarsal bone, r ft, 7thD                Nondisplaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with routine healing
67147 S92354G 1 Nondisp fx of 5th metatarsal bone, r ft, 7thG                Nondisplaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with delayed healing
67148 S92354K 1 Nondisp fx of 5th metatarsal bone, r ft, 7thK                Nondisplaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with nonunion
67149 S92354P 1 Nondisp fx of 5th metatarsal bone, r ft, 7thP                Nondisplaced fracture of fifth metatarsal bone, right foot, subsequent encounter for fracture with malunion
67150 S92354S 1 Nondisp fx of fifth metatarsal bone, right foot, sequela     Nondisplaced fracture of fifth metatarsal bone, right foot, sequela
67151 S92355  0 Nondisplaced fracture of fifth metatarsal bone, left foot    Nondisplaced fracture of fifth metatarsal bone, left foot
67152 S92355A 1 Nondisp fx of fifth metatarsal bone, left foot, init         Nondisplaced fracture of fifth metatarsal bone, left foot, initial encounter for closed fracture
67153 S92355B 1 Nondisp fx of fifth metatarsal bone, l foot, init for opn fx Nondisplaced fracture of fifth metatarsal bone, left foot, initial encounter for open fracture
67154 S92355D 1 Nondisp fx of 5th metatarsal bone, l ft, 7thD                Nondisplaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with routine healing
67155 S92355G 1 Nondisp fx of 5th metatarsal bone, l ft, 7thG                Nondisplaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with delayed healing
67156 S92355K 1 Nondisp fx of 5th metatarsal bone, l ft, 7thK                Nondisplaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with nonunion
67157 S92355P 1 Nondisp fx of 5th metatarsal bone, l ft, 7thP                Nondisplaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with malunion
67158 S92355S 1 Nondisp fx of fifth metatarsal bone, left foot, sequela      Nondisplaced fracture of fifth metatarsal bone, left foot, sequela
67159 S92356  0 Nondisp fx of fifth metatarsal bone, unspecified foot        Nondisplaced fracture of fifth metatarsal bone, unspecified foot
67160 S92356A 1 Nondisp fx of fifth metatarsal bone, unsp foot, init         Nondisplaced fracture of fifth metatarsal bone, unspecified foot, initial encounter for closed fracture
67161 S92356B 1 Nondisp fx of 5th metatarsal bone, unsp ft, init for opn fx  Nondisplaced fracture of fifth metatarsal bone, unspecified foot, initial encounter for open fracture
67162 S92356D 1 Nondisp fx of 5th metatarsal bone, unsp ft, 7thD             Nondisplaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
67163 S92356G 1 Nondisp fx of 5th metatarsal bone, unsp ft, 7thG             Nondisplaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing
67164 S92356K 1 Nondisp fx of 5th metatarsal bone, unsp ft, 7thK             Nondisplaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion
67165 S92356P 1 Nondisp fx of 5th metatarsal bone, unsp ft, 7thP             Nondisplaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion
67166 S92356S 1 Nondisp fx of fifth metatarsal bone, unsp foot, sequela      Nondisplaced fracture of fifth metatarsal bone, unspecified foot, sequela
67167 S924    0 Fracture of great toe                                        Fracture of great toe
67168 S9240   0 Unspecified fracture of great toe                            Unspecified fracture of great toe
67169 S92401  0 Displaced unspecified fracture of right great toe            Displaced unspecified fracture of right great toe
67170 S92401A 1 Displaced unsp fracture of right great toe, init for clos fx Displaced unspecified fracture of right great toe, initial encounter for closed fracture
67171 S92401B 1 Displaced unsp fracture of right great toe, init for opn fx  Displaced unspecified fracture of right great toe, initial encounter for open fracture
67172 S92401D 1 Displaced unsp fx right great toe, subs for fx w routn heal  Displaced unspecified fracture of right great toe, subsequent encounter for fracture with routine healing
67173 S92401G 1 Displaced unsp fx right great toe, subs for fx w delay heal  Displaced unspecified fracture of right great toe, subsequent encounter for fracture with delayed healing
67174 S92401K 1 Displaced unsp fx right great toe, subs for fx w nonunion    Displaced unspecified fracture of right great toe, subsequent encounter for fracture with nonunion
67175 S92401P 1 Displaced unsp fx right great toe, subs for fx w malunion    Displaced unspecified fracture of right great toe, subsequent encounter for fracture with malunion
67176 S92401S 1 Displaced unspecified fracture of right great toe, sequela   Displaced unspecified fracture of right great toe, sequela
67177 S92402  0 Displaced unspecified fracture of left great toe             Displaced unspecified fracture of left great toe
67178 S92402A 1 Displaced unsp fracture of left great toe, init for clos fx  Displaced unspecified fracture of left great toe, initial encounter for closed fracture
67179 S92402B 1 Displaced unsp fracture of left great toe, init for opn fx   Displaced unspecified fracture of left great toe, initial encounter for open fracture
67180 S92402D 1 Displaced unsp fx left great toe, subs for fx w routn heal   Displaced unspecified fracture of left great toe, subsequent encounter for fracture with routine healing
67181 S92402G 1 Displaced unsp fx left great toe, subs for fx w delay heal   Displaced unspecified fracture of left great toe, subsequent encounter for fracture with delayed healing
67182 S92402K 1 Displaced unsp fx left great toe, subs for fx w nonunion     Displaced unspecified fracture of left great toe, subsequent encounter for fracture with nonunion
67183 S92402P 1 Displaced unsp fx left great toe, subs for fx w malunion     Displaced unspecified fracture of left great toe, subsequent encounter for fracture with malunion
67184 S92402S 1 Displaced unspecified fracture of left great toe, sequela    Displaced unspecified fracture of left great toe, sequela
67185 S92403  0 Displaced unspecified fracture of unspecified great toe      Displaced unspecified fracture of unspecified great toe
67186 S92403A 1 Displaced unsp fracture of unsp great toe, init for clos fx  Displaced unspecified fracture of unspecified great toe, initial encounter for closed fracture
67187 S92403B 1 Displaced unsp fracture of unsp great toe, init for opn fx   Displaced unspecified fracture of unspecified great toe, initial encounter for open fracture
67188 S92403D 1 Displaced unsp fx unsp great toe, subs for fx w routn heal   Displaced unspecified fracture of unspecified great toe, subsequent encounter for fracture with routine healing
67189 S92403G 1 Displaced unsp fx unsp great toe, subs for fx w delay heal   Displaced unspecified fracture of unspecified great toe, subsequent encounter for fracture with delayed healing
67190 S92403K 1 Displaced unsp fx unsp great toe, subs for fx w nonunion     Displaced unspecified fracture of unspecified great toe, subsequent encounter for fracture with nonunion
67191 S92403P 1 Displaced unsp fx unsp great toe, subs for fx w malunion     Displaced unspecified fracture of unspecified great toe, subsequent encounter for fracture with malunion
